account_id,customer_id,account_type,account_status,open_date,currency_code,balance
ACCT200000,CUST100452,Checking,Active,2025-11-23,USD,33010.62
ACCT200001,CUST101505,Savings,Dormant,2022-04-18,USD,29583.36
ACCT200002,CUST101991,Savings,Active,2024-11-28,USD,24781.04
ACCT200003,CUST101426,Checking,Active,2025-07-20,USD,26223.15
ACCT200004,CUST100969,Checking,Active,2023-02-20,USD,37720.8
ACCT200005,CUST100948,Credit Card,Dormant,2022-04-03,USD,-1711.3
ACCT200006,CUST100274,Money Market,Active,2023-08-15,USD,27864.34
ACCT200007,CUST100921,Checking,Active,2021-08-20,USD,3953.52
ACCT200008,CUST100549,Savings,Active,2023-11-10,USD,9524.08
ACCT200009,CUST101647,Checking,Active,2022-08-26,USD,3639.22
ACCT200010,CUST101780,Savings,Dormant,2021-10-31,USD,23969.71
ACCT200011,CUST100389,Money Market,Closed,2022-04-18,USD,10590.39
ACCT200012,CUST100496,Money Market,Active,2026-04-30,USD,23946.04
ACCT200013,CUST100658,Checking,Active,2024-08-30,USD,11966.55
ACCT200014,CUST100535,Savings,Active,2026-07-14,EUR,17962.98
ACCT200015,CUST101479,Savings,Active,2022-01-27,USD,40140.83
ACCT200016,CUST100847,Money Market,Active,2024-07-11,EUR,18535.25
ACCT200017,CUST101133,Savings,Dormant,2022-11-30,USD,811.0
ACCT200018,CUST100675,Savings,Active,2025-08-14,USD,7620.57
ACCT200019,CUST101932,Checking,Active,2023-06-27,USD,27532.13
ACCT200020,CUST101314,Credit Card,Active,2022-07-01,USD,-66.98
ACCT200021,CUST100286,Savings,Active,2022-03-20,USD,17608.81
ACCT200022,CUST101314,Money Market,Closed,2026-03-25,USD,27106.84
ACCT200023,CUST101675,Credit Card,Active,2025-04-13,USD,-1851.34
ACCT200024,CUST100473,Savings,Active,2024-11-24,USD,42127.24
ACCT200025,CUST100123,Checking,Active,2024-07-15,USD,22800.48
ACCT200026,CUST100999,Savings,Active,2025-01-18,USD,24160.21
ACCT200027,CUST101479,Savings,Active,2025-09-24,CAD,836.31
ACCT200028,CUST101380,Checking,Active,2023-02-17,GBP,40657.86
ACCT200029,CUST101073,Checking,Active,2023-02-18,USD,45902.44
ACCT200030,CUST100547,Savings,Active,2023-11-21,USD,40760.72
ACCT200031,CUST100498,Money Market,Closed,2022-06-19,USD,22949.89
ACCT200032,CUST101338,Savings,Closed,2022-11-19,USD,42393.36
ACCT200033,CUST100772,Checking,Active,2025-11-23,USD,20263.91
ACCT200034,CUST101023,Checking,Active,2024-11-12,USD,8569.18
ACCT200035,CUST101994,Checking,Active,2024-05-27,USD,48866.46
ACCT200036,CUST101777,Checking,Active,2021-10-02,USD,10570.85
ACCT200037,CUST101401,Checking,Dormant,2023-08-31,EUR,46207.96
ACCT200038,CUST101902,Savings,Dormant,2025-12-11,USD,1645.09
ACCT200039,CUST101680,Checking,Active,2024-03-17,USD,7209.58
ACCT200040,CUST100492,Checking,Active,2022-08-12,USD,8122.51
ACCT200041,CUST100786,Savings,Active,2022-01-06,USD,27028.12
ACCT200042,CUST101025,Money Market,Active,2022-05-15,USD,36208.18
ACCT200043,CUST100155,Checking,Active,2026-05-17,USD,11607.2
ACCT200044,CUST101584,Money Market,Active,2024-07-24,USD,19835.15
ACCT200045,CUST100467,Credit Card,Active,2026-06-30,GBP,-1098.9
ACCT200046,CUST101353,Savings,Active,2023-02-21,USD,33984.74
ACCT200047,CUST100150,Checking,Active,2022-11-28,USD,12322.49
ACCT200048,CUST101514,Savings,Active,2023-02-04,USD,31695.04
ACCT200049,CUST100910,Checking,Active,2023-10-21,USD,47148.01
ACCT200050,CUST100919,Checking,Active,2026-07-13,USD,9369.59
ACCT200051,CUST101135,Checking,Active,2023-01-25,USD,4480.94
ACCT200052,CUST100597,Checking,Active,2023-11-11,USD,19261.9
ACCT200053,CUST100497,Savings,Active,2023-09-20,USD,27976.83
ACCT200054,CUST100616,Checking,Active,2023-10-18,USD,6942.0
ACCT200055,CUST100613,Checking,Active,2021-10-14,USD,13798.09
ACCT200056,CUST101280,Checking,Active,2024-12-14,USD,12329.5
ACCT200057,CUST100013,Savings,Dormant,2025-03-24,USD,6774.48
ACCT200058,CUST100674,Savings,Active,2022-04-13,USD,40203.82
ACCT200059,CUST101217,Credit Card,Active,2024-06-28,USD,-697.93
ACCT200060,CUST100643,Money Market,Active,2026-06-07,USD,10042.57
ACCT200061,CUST101296,Checking,Active,2023-01-21,USD,36743.72
ACCT200062,CUST101672,Checking,Active,2022-08-22,USD,18802.77
ACCT200063,CUST101117,Money Market,Active,2022-09-11,USD,9990.0
ACCT200064,CUST101931,Checking,Active,2021-12-31,USD,36360.67
ACCT200065,CUST101677,Checking,Active,2025-09-22,USD,34641.76
ACCT200066,CUST100620,Savings,Active,2024-10-29,USD,6958.96
ACCT200067,CUST100151,Savings,Active,2023-11-29,USD,39453.84
ACCT200068,CUST101891,Savings,Dormant,2026-02-23,USD,26718.37
ACCT200069,CUST100736,Savings,Active,2024-11-03,USD,39536.05
ACCT200070,CUST100223,Savings,Active,2022-02-10,USD,45720.06
ACCT200071,CUST100090,Checking,Active,2026-03-31,USD,32349.99
ACCT200072,CUST100679,Savings,Closed,2023-02-25,USD,48340.56
ACCT200073,CUST101045,Checking,Active,2026-04-28,USD,12936.92
ACCT200074,CUST100766,Savings,Active,2022-12-25,USD,11051.59
ACCT200075,CUST100706,Savings,Closed,2024-07-07,USD,25023.29
ACCT200076,CUST100175,Checking,Active,2024-06-03,GBP,46027.38
ACCT200077,CUST100932,Checking,Active,2026-07-21,USD,15594.52
ACCT200078,CUST101478,Checking,Active,2022-07-25,USD,4881.15
ACCT200079,CUST100235,Checking,Active,2024-01-22,USD,40509.3
ACCT200080,CUST101904,Checking,Closed,2023-06-02,USD,40002.51
ACCT200081,CUST101146,Checking,Active,2023-01-20,USD,8006.79
ACCT200082,CUST100381,Credit Card,Active,2022-03-09,USD,-740.48
ACCT200083,CUST100404,Checking,Active,2022-07-11,USD,30705.35
ACCT200084,CUST100570,Checking,Active,2025-08-28,USD,10739.81
ACCT200085,CUST101785,Checking,Active,2023-01-01,USD,5087.6
ACCT200086,CUST101373,Checking,Dormant,2023-12-05,USD,5697.75
ACCT200087,CUST101251,Savings,Active,2024-07-12,USD,29848.54
ACCT200088,CUST100353,Checking,Active,2024-10-05,USD,22893.03
ACCT200089,CUST100173,Checking,Active,2022-01-25,USD,30724.23
