transaction_id,account_id,transaction_date,transaction_type,amount,currency_code,running_balance,channel
TXN000000000,ACCT202454,2025-06-19,Deposit,3311.88,USD,44289.64,Online
TXN000000001,ACCT202607,2026-03-25,Withdrawal,1810.53,USD,25794.54,ATM
TXN000000002,ACCT201659,2025-10-14,Withdrawal,619.1,USD,20648.62,Mobile
TXN000000003,ACCT202095,2026-02-04,Deposit,1611.59,USD,33066.2,Online
TXN000000004,ACCT200697,2026-01-03,Transfer,1879.75,USD,2093.66,Mobile
TXN000000005,ACCT202560,2024-12-15,Withdrawal,2036.63,USD,12019.49,ATM
TXN000000006,ACCT202515,2024-09-19,Withdrawal,3092.37,USD,39326.16,Branch
TXN000000007,ACCT202557,2026-05-04,Transfer,4765.76,USD,42807.82,ATM
TXN000000008,ACCT200515,2026-02-27,Deposit,1342.71,USD,2349.33,Branch
TXN000000009,ACCT201604,2025-02-22,Deposit,2645.24,USD,44510.25,Mobile
TXN000000010,ACCT200020,2025-10-01,Deposit,3667.76,USD,48107.6,ATM
TXN000000011,ACCT202242,2025-01-16,Payment,2494.74,GBP,46544.99,ATM
TXN000000012,ACCT201548,2025-04-22,Transfer,942.48,USD,32387.13,Online
TXN000000013,ACCT200992,2025-03-01,Deposit,332.33,USD,34832.23,ATM
TXN000000014,ACCT201208,2025-09-10,Transfer,2611.01,USD,32259.3,ATM
TXN000000015,ACCT201259,2025-09-27,Withdrawal,797.17,GBP,12135.81,Online
TXN000000016,ACCT200534,2024-09-14,Withdrawal,3627.52,USD,26416.05,Online
TXN000000017,ACCT201268,2026-02-01,Payment,1262.99,USD,23098.26,Branch
TXN000000018,ACCT201598,2024-08-24,Deposit,4911.13,USD,19494.04,Online
TXN000000019,ACCT201530,2026-02-01,Transfer,4332.04,USD,2115.96,Online
TXN000000020,ACCT200938,2026-07-14,Transfer,1848.39,USD,27173.46,Online
TXN000000021,ACCT200785,2025-08-07,Payment,4557.61,USD,1163.21,Branch
TXN000000022,ACCT201545,2024-12-23,Withdrawal,3961.51,USD,43154.21,ATM
TXN000000023,ACCT202172,2024-11-09,Withdrawal,4590.67,USD,38601.84,Mobile
TXN000000024,ACCT201508,2025-07-15,Deposit,3488.54,USD,25937.35,Mobile
TXN000000025,ACCT201128,2025-06-09,Withdrawal,4862.52,CAD,23284.13,Mobile
TXN000000026,ACCT200252,2026-05-21,Transfer,1702.95,USD,14484.81,ATM
TXN000000027,ACCT201193,2026-07-09,Deposit,4582.85,USD,10446.86,Mobile
TXN000000028,ACCT201454,2026-01-24,Deposit,2633.43,USD,29356.08,Mobile
TXN000000029,ACCT200500,2026-05-13,Withdrawal,1113.28,USD,7070.8,Branch
TXN000000030,ACCT200387,2024-09-15,Transfer,2276.45,USD,23322.5,Mobile
TXN000000031,ACCT200506,2025-10-22,Withdrawal,3034.25,USD,9930.94,ATM
TXN000000032,ACCT202584,2025-12-27,Transfer,2465.44,USD,6735.35,ATM
TXN000000033,ACCT200924,2025-11-04,Deposit,2036.2,USD,1737.87,Branch
TXN000000034,ACCT200343,2026-02-01,Payment,3061.32,EUR,25244.32,Mobile
TXN000000035,ACCT201341,2024-08-21,Payment,481.06,USD,48037.0,Mobile
TXN000000036,ACCT202263,2025-01-20,Transfer,2624.75,USD,419.1,Mobile
TXN000000037,ACCT200854,2025-07-03,Payment,4986.33,USD,1469.91,Branch
TXN000000038,ACCT201699,2025-07-22,Deposit,643.9,EUR,29859.83,Mobile
TXN000000039,ACCT201001,2025-07-06,Transfer,1672.59,CAD,31841.67,Online
TXN000000040,ACCT201161,2025-01-28,Payment,2982.38,GBP,48018.43,Mobile
TXN000000041,ACCT200012,2024-09-27,Payment,3402.2,USD,19588.07,ATM
TXN000000042,ACCT201416,2024-10-04,Deposit,294.44,USD,15561.39,Branch
TXN000000043,ACCT200504,2024-07-28,Payment,3198.25,USD,28751.41,Branch
TXN000000044,ACCT201197,2026-03-28,Deposit,1988.03,USD,23867.34,Mobile
TXN000000045,ACCT202402,2024-11-30,Deposit,4984.68,EUR,9735.3,Mobile
TXN000000046,ACCT200645,2026-04-17,Payment,3034.81,USD,25292.63,Branch
TXN000000047,ACCT201848,2026-04-29,Deposit,1691.78,USD,3837.23,Online
TXN000000048,ACCT200149,2025-03-25,Transfer,4287.1,USD,14697.42,ATM
TXN000000049,ACCT201668,2026-01-08,Payment,219.05,USD,18341.8,Branch
TXN000000050,ACCT201382,2026-04-11,Deposit,4678.28,USD,21433.48,Mobile
TXN000000051,ACCT200189,2024-12-18,Withdrawal,484.45,USD,37317.15,Online
TXN000000052,ACCT200073,2026-03-20,Payment,4719.52,USD,43741.45,Branch
TXN000000053,ACCT200832,2025-07-09,Withdrawal,1992.16,USD,30371.37,Mobile
TXN000000054,ACCT200111,2025-12-15,Withdrawal,3426.12,USD,3633.97,Mobile
TXN000000055,ACCT200871,2025-03-25,Deposit,881.66,USD,10930.2,Mobile
TXN000000056,ACCT201457,2026-05-18,Deposit,2151.82,USD,27514.57,Online
