order_id,customer_id,product_id,order_date,quantity,unit_price,discount_pct,order_status,channel
ORD900000,CUST100397,PROD700056,2025-09-12,5,171.24,0,Delivered,In-Store
ORD900001,CUST101909,PROD700145,2026-03-29,1,247.18,20,Cancelled,Online
ORD900002,CUST100137,PROD700140,2025-06-26,1,46.71,0,Shipped,Online
ORD900003,CUST100731,PROD700148,2024-11-29,4,564.53,0,Returned,In-Store
ORD900004,CUST101843,PROD700025,2024-09-15,3,218.09,0,Delivered,Online
ORD900005,CUST101420,PROD700084,2026-05-14,5,703.26,5,Delivered,In-Store
ORD900006,CUST100345,PROD700093,2025-06-10,3,145.16,0,Returned,Online
ORD900007,CUST100736,PROD700056,2026-06-25,4,171.24,0,Shipped,In-Store
ORD900008,CUST101586,PROD700122,2025-01-04,4,389.5,0,Delivered,In-Store
ORD900009,CUST100574,PROD700044,2025-02-03,5,298.6,10,Placed,Online
ORD900010,CUST101815,PROD700137,2025-08-18,2,324.61,5,Shipped,In-Store
ORD900011,CUST101664,PROD700004,2025-03-16,5,678.25,5,Delivered,Online
ORD900012,CUST101129,PROD700151,2026-02-16,2,655.42,0,Cancelled,Mobile App
ORD900013,CUST100304,PROD700138,2026-02-13,4,283.42,0,Delivered,Online
ORD900014,CUST101026,PROD700150,2025-03-02,3,43.78,0,Shipped,Online
ORD900015,CUST101736,PROD700128,2025-01-19,1,458.27,15,Delivered,Mobile App
ORD900016,CUST100326,PROD700042,2026-07-21,5,132.97,0,Shipped,Mobile App
ORD900017,CUST100082,PROD700037,2024-09-06,4,418.21,0,Returned,Online
ORD900018,CUST100087,PROD700016,2025-04-07,3,402.47,5,Delivered,Online
ORD900019,CUST100931,PROD700092,2025-01-03,4,543.0,10,Delivered,Online
ORD900020,CUST101067,PROD700082,2025-03-12,1,208.24,5,Delivered,Online
ORD900021,CUST100356,PROD700067,2026-07-11,5,10.51,0,Delivered,Online
ORD900022,CUST100770,PROD700150,2025-02-09,1,43.78,20,Delivered,Online
ORD900023,CUST100706,PROD700103,2026-07-15,3,730.15,0,Delivered,Online
ORD900024,CUST100284,PROD700154,2026-02-26,1,236.26,0,Delivered,Online
ORD900025,CUST100382,PROD700131,2025-11-26,3,395.12,0,Shipped,In-Store
ORD900026,CUST100676,PROD700030,2026-06-23,2,22.26,5,Delivered,Online
ORD900027,CUST100330,PROD700122,2025-07-28,4,389.5,5,Shipped,Online
ORD900028,CUST101213,PROD700062,2025-04-09,1,265.13,0,Shipped,In-Store
ORD900029,CUST100340,PROD700010,2026-06-15,5,281.9,0,Shipped,Online
ORD900030,CUST101305,PROD700103,2025-04-23,5,730.15,0,Returned,In-Store
ORD900031,CUST101242,PROD700072,2024-08-07,1,237.67,20,Shipped,Mobile App
ORD900032,CUST101230,PROD700043,2026-03-29,2,130.51,0,Delivered,In-Store
ORD900033,CUST100541,PROD700046,2025-08-25,5,585.39,0,Delivered,In-Store
ORD900034,CUST100470,PROD700116,2024-11-13,5,272.14,0,Delivered,Online
ORD900035,CUST101862,PROD700004,2026-06-17,2,678.25,0,Delivered,Online
ORD900036,CUST100974,PROD700038,2025-01-16,5,252.24,15,Placed,In-Store
ORD900037,CUST100190,PROD700136,2025-09-25,5,664.61,0,Delivered,Online
ORD900038,CUST101836,PROD700154,2024-11-12,5,236.26,15,Delivered,In-Store
ORD900039,CUST101791,PROD700110,2025-09-05,5,450.93,0,Delivered,Online
ORD900040,CUST100780,PROD700058,2025-11-27,4,159.38,0,Delivered,Mobile App
ORD900041,CUST100521,PROD700147,2025-09-09,1,109.71,0,Delivered,Online
ORD900042,CUST101113,PROD700021,2025-09-28,3,19.04,0,Delivered,Online
ORD900043,CUST101064,PROD700001,2024-10-05,5,440.65,0,Delivered,In-Store
ORD900044,CUST100316,PROD700080,2026-07-09,4,250.1,0,Delivered,In-Store
ORD900045,CUST100748,PROD700066,2025-05-24,5,321.8,5,Delivered,Mobile App
ORD900046,CUST101605,PROD700101,2024-09-22,2,14.27,5,Delivered,Online
ORD900047,CUST100628,PROD700143,2025-01-18,5,89.59,5,Delivered,In-Store
ORD900048,CUST101350,PROD700101,2025-07-12,2,14.27,0,Cancelled,Online
ORD900049,CUST100820,PROD700041,2025-12-11,1,302.2,10,Shipped,Mobile App
ORD900050,CUST101975,PROD700157,2024-09-26,1,172.47,5,Shipped,Mobile App
ORD900051,CUST100891,PROD700037,2025-10-16,4,418.21,0,Cancelled,Online
ORD900052,CUST101483,PROD700094,2026-06-09,1,318.45,0,Delivered,Mobile App
ORD900053,CUST101973,PROD700157,2025-04-02,5,172.47,5,Shipped,Mobile App
ORD900054,CUST100413,PROD700044,2026-01-04,4,298.6,10,Delivered,Mobile App
ORD900055,CUST101605,PROD700132,2025-08-26,3,521.91,5,Shipped,Online
ORD900056,CUST100073,PROD700059,2025-09-10,5,773.2,0,Shipped,In-Store
ORD900057,CUST101596,PROD700040,2026-05-18,1,293.24,0,Returned,In-Store
ORD900058,CUST100031,PROD700103,2026-03-14,5,730.15,5,Shipped,Online
ORD900059,CUST101699,PROD700023,2024-08-13,5,159.91,5,Shipped,In-Store
ORD900060,CUST101972,PROD700088,2025-08-07,3,606.19,0,Shipped,Mobile App
ORD900061,CUST100833,PROD700147,2025-01-13,1,109.71,0,Shipped,In-Store
ORD900062,CUST100239,PROD700128,2026-03-28,3,458.27,10,Delivered,Mobile App
ORD900063,CUST100906,PROD700137,2026-04-27,5,324.61,15,Shipped,In-Store
ORD900064,CUST100939,PROD700062,2026-04-18,3,265.13,5,Returned,Mobile App
ORD900065,CUST100138,PROD700007,2024-11-10,4,35.8,0,Shipped,In-Store
ORD900066,CUST100844,PROD700056,2026-06-28,2,171.24,15,Delivered,Online
ORD900067,CUST100190,PROD700002,2025-08-02,3,696.28,0,Shipped,In-Store
ORD900068,CUST100365,PROD700087,2024-10-24,1,133.01,0,Delivered,Online
ORD900069,CUST101528,PROD700146,2025-03-17,3,53.38,5,Shipped,Mobile App
ORD900070,CUST100495,PROD700127,2025-05-13,2,727.99,10,Shipped,Online
ORD900071,CUST100729,PROD700051,2025-01-11,2,867.0,0,Delivered,Online
ORD900072,CUST101565,PROD700020,2025-04-18,4,35.61,10,Delivered,Mobile App
ORD900073,CUST101008,PROD700123,2025-04-14,3,37.23,10,Delivered,Mobile App
ORD900074,CUST101565,PROD700147,2025-03-07,3,109.71,15,Delivered,Online
ORD900075,CUST101076,PROD700056,2024-11-09,5,171.24,10,Shipped,Online
ORD900076,CUST100806,PROD700138,2025-09-09,1,283.42,10,Delivered,In-Store
ORD900077,CUST100942,PROD700117,2025-03-16,1,461.79,0,Delivered,Online
ORD900078,CUST100666,PROD700053,2025-06-24,4,143.47,0,Delivered,Mobile App
ORD900079,CUST100551,PROD700047,2026-04-15,5,205.05,0,Shipped,In-Store
ORD900080,CUST100431,PROD700093,2025-08-29,2,145.16,0,Delivered,In-Store
ORD900081,CUST100368,PROD700093,2026-04-17,4,145.16,5,Shipped,Mobile App
ORD900082,CUST101646,PROD700058,2025-06-08,1,159.38,0,Delivered,Online
ORD900083,CUST101964,PROD700097,2025-01-04,2,195.74,5,Shipped,Online
ORD900084,CUST100275,PROD700002,2026-03-05,2,696.28,20,Delivered,Mobile App
ORD900085,CUST101608,PROD700132,2026-06-30,5,521.91,0,Delivered,Online
ORD900086,CUST101414,PROD700145,2025-11-24,1,247.18,0,Delivered,Online
ORD900087,CUST100197,PROD700065,2026-01-27,4,584.34,0,Delivered,Online
ORD900088,CUST101908,PROD700092,2026-06-27,3,543.0,10,Delivered,Online
ORD900089,CUST101391,PROD700105,2026-03-16,1,290.44,15,Delivered,Online
ORD900090,CUST101598,PROD700147,2026-04-25,5,109.71,0,Shipped,Online
ORD900091,CUST100915,PROD700130,2025-09-16,4,231.67,10,Delivered,Online
ORD900092,CUST100296,PROD700073,2025-07-01,4,365.16,10,Delivered,In-Store
ORD900093,CUST101170,PROD700086,2024-12-06,4,213.12,0,Delivered,Mobile App
ORD900094,CUST100642,PROD700020,2024-08-31,2,35.61,0,Delivered,Online
ORD900095,CUST100555,PROD700068,2024-12-31,5,392.71,10,Delivered,In-Store
ORD900096,CUST100922,PROD700092,2026-05-25,5,543.0,0,Delivered,Online
ORD900097,CUST101355,PROD700005,2024-11-28,2,360.13,0,Delivered,In-Store
ORD900098,CUST100210,PROD700020,2024-12-23,2,35.61,0,Shipped,Mobile App
ORD900099,CUST101578,PROD700121,2025-09-02,5,666.9,0,Placed,In-Store
ORD900100,CUST100318,PROD700021,2025-01-11,1,19.04,0,Shipped,Mobile App
ORD900101,CUST101510,PROD700099,2026-03-07,3,49.16,0,Shipped,In-Store
ORD900102,CUST100058,PROD700033,2024-11-19,5,448.68,0,Delivered,Online
ORD900103,CUST101783,PROD700083,2026-02-26,4,403.0,0,Delivered,Online
ORD900104,CUST101428,PROD700113,2024-10-28,2,422.32,0,Returned,In-Store
ORD900105,CUST101310,PROD700116,2025-07-30,5,272.14,5,Delivered,Online
ORD900106,CUST101648,PROD700088,2024-09-07,4,606.19,0,Delivered,Online
ORD900107,CUST100021,PROD700105,2025-03-21,3,290.44,0,Shipped,Mobile App
ORD900108,CUST101095,PROD700034,2025-11-07,3,542.39,0,Shipped,Mobile App
ORD900109,CUST100881,PROD700122,2025-02-10,3,389.5,10,Placed,In-Store
ORD900110,CUST100843,PROD700001,2025-01-23,5,440.65,10,Delivered,Online
ORD900111,CUST101322,PROD700063,2026-06-02,2,674.46,0,Delivered,Online
ORD900112,CUST100490,PROD700067,2026-06-06,1,10.51,0,Delivered,In-Store
ORD900113,CUST101521,PROD700156,2024-11-08,3,368.07,0,Shipped,Online
ORD900114,CUST100593,PROD700048,2025-07-27,1,867.55,0,Shipped,Online
ORD900115,CUST101007,PROD700115,2026-01-12,3,332.94,0,Delivered,Online
ORD900116,CUST101991,PROD700012,2025-03-06,5,511.65,0,Placed,Online
ORD900117,CUST100308,PROD700112,2024-08-13,1,306.19,0,Shipped,Online
ORD900118,CUST101020,PROD700107,2024-11-23,3,227.72,20,Delivered,Online
ORD900119,CUST101537,PROD700008,2025-05-12,3,300.45,15,Placed,Online
ORD900120,CUST100371,PROD700100,2025-04-21,1,6.9,0,Delivered,Mobile App
ORD900121,CUST101573,PROD700097,2025-04-14,1,195.74,5,Shipped,Online
ORD900122,CUST100068,PROD700113,2025-09-21,2,422.32,0,Delivered,In-Store
ORD900123,CUST100426,PROD700024,2025-03-30,5,54.71,0,Delivered,In-Store
ORD900124,CUST101491,PROD700079,2025-11-13,3,133.49,0,Shipped,Mobile App
ORD900125,CUST101307,PROD700133,2024-12-09,1,30.49,0,Shipped,Online
ORD900126,CUST100483,PROD700013,2025-02-10,2,365.04,5,Returned,Online
ORD900127,CUST100810,PROD700042,2025-05-02,3,132.97,10,Delivered,Online
ORD900128,CUST100973,PROD700010,2025-09-29,5,281.9,5,Delivered,Online
ORD900129,CUST100187,PROD700022,2026-07-11,2,486.05,5,Shipped,Online
ORD900130,CUST100315,PROD700015,2024-08-30,1,494.96,5,Delivered,In-Store
ORD900131,CUST101143,PROD700032,2024-11-27,4,449.02,10,Shipped,In-Store
ORD900132,CUST100773,PROD700112,2025-01-21,2,306.19,0,Placed,Online
ORD900133,CUST101144,PROD700010,2026-02-02,4,281.9,0,Delivered,In-Store
ORD900134,CUST100712,PROD700048,2026-02-06,5,867.55,0,Shipped,Online
ORD900135,CUST101087,PROD700153,2025-01-30,5,487.4,0,Shipped,Online
ORD900136,CUST100001,PROD700067,2024-10-23,5,10.51,10,Delivered,Online
ORD900137,CUST100745,PROD700047,2024-08-13,1,205.05,10,Delivered,Online
ORD900138,CUST100388,PROD700016,2025-08-20,5,402.47,0,Delivered,Online
ORD900139,CUST100660,PROD700141,2024-10-07,2,98.63,0,Delivered,Online
ORD900140,CUST100089,PROD700024,2025-08-17,5,54.71,10,Delivered,Online
ORD900141,CUST100392,PROD700008,2025-04-23,2,300.45,0,Shipped,In-Store
ORD900142,CUST101436,PROD700099,2025-12-07,4,49.16,5,Delivered,Online
ORD900143,CUST100026,PROD700056,2025-02-24,5,171.24,15,Delivered,Online
ORD900144,CUST101308,PROD700125,2026-02-01,1,240.64,0,Delivered,In-Store
ORD900145,CUST100119,PROD700106,2025-09-11,3,758.71,10,Delivered,Online
ORD900146,CUST100159,PROD700010,2026-02-08,1,281.9,15,Delivered,Mobile App
ORD900147,CUST101088,PROD700024,2024-08-09,1,54.71,0,Delivered,Online
ORD900148,CUST100366,PROD700063,2026-04-18,5,674.46,5,Delivered,In-Store
ORD900149,CUST100939,PROD700027,2025-04-01,5,622.44,5,Delivered,Online
ORD900150,CUST101126,PROD700026,2026-02-21,2,311.22,0,Delivered,Online
ORD900151,CUST100907,PROD700040,2026-01-02,5,293.24,15,Returned,Mobile App
ORD900152,CUST100844,PROD700140,2026-03-25,3,46.71,10,Delivered,Online
ORD900153,CUST101117,PROD700082,2024-10-02,5,208.24,0,Shipped,In-Store
ORD900154,CUST100916,PROD700065,2025-02-03,3,584.34,15,Returned,Online
ORD900155,CUST101060,PROD700008,2025-01-21,3,300.45,0,Delivered,Mobile App
ORD900156,CUST100439,PROD700001,2025-12-16,3,440.65,10,Returned,Online
ORD900157,CUST101168,PROD700070,2025-08-26,5,481.72,15,Delivered,Online
ORD900158,CUST100283,PROD700009,2025-08-31,4,821.75,0,Delivered,Mobile App
ORD900159,CUST100615,PROD700063,2026-01-24,2,674.46,0,Shipped,Online
ORD900160,CUST101623,PROD700055,2024-12-05,1,625.81,0,Delivered,Online
ORD900161,CUST100615,PROD700147,2025-07-24,1,109.71,0,Delivered,Mobile App
ORD900162,CUST101887,PROD700097,2025-01-13,1,195.74,10,Delivered,Online
ORD900163,CUST100246,PROD700111,2025-08-05,4,620.48,10,Returned,Online
ORD900164,CUST101294,PROD700154,2025-11-27,1,236.26,0,Delivered,Online
ORD900165,CUST100306,PROD700010,2026-03-15,3,281.9,0,Delivered,In-Store
ORD900166,CUST100804,PROD700039,2026-05-02,1,241.26,20,Delivered,In-Store
ORD900167,CUST100884,PROD700147,2025-02-14,5,109.71,0,Placed,Online
ORD900168,CUST101170,PROD700033,2026-06-23,3,448.68,5,Placed,Online
ORD900169,CUST100889,PROD700067,2025-10-14,1,10.51,10,Delivered,Online
ORD900170,CUST100999,PROD700034,2024-08-26,4,542.39,0,Delivered,In-Store
ORD900171,CUST101073,PROD700143,2025-10-20,5,89.59,0,Returned,Online
ORD900172,CUST101179,PROD700110,2025-10-10,3,450.93,0,Delivered,In-Store
ORD900173,CUST100656,PROD700108,2025-02-08,3,235.27,0,Delivered,In-Store
ORD900174,CUST101262,PROD700078,2025-12-14,2,519.85,10,Returned,Mobile App
ORD900175,CUST101892,PROD700159,2025-02-24,2,97.45,10,Delivered,Online
ORD900176,CUST101746,PROD700095,2025-08-12,2,734.37,0,Delivered,In-Store
ORD900177,CUST101779,PROD700062,2024-09-30,5,265.13,10,Cancelled,Online
ORD900178,CUST100964,PROD700087,2025-09-09,1,133.01,0,Delivered,Online
ORD900179,CUST101071,PROD700137,2026-05-26,2,324.61,10,Shipped,Online
ORD900180,CUST101368,PROD700159,2026-06-28,2,97.45,0,Delivered,In-Store
ORD900181,CUST100123,PROD700134,2025-12-02,1,470.5,0,Shipped,In-Store
ORD900182,CUST101340,PROD700158,2026-03-17,3,65.64,15,Placed,Online
ORD900183,CUST100039,PROD700069,2026-06-23,3,85.21,0,Cancelled,Mobile App
ORD900184,CUST101041,PROD700098,2026-05-27,2,69.95,20,Returned,Online
ORD900185,CUST101088,PROD700080,2024-09-11,4,250.1,0,Cancelled,Online
ORD900186,CUST100044,PROD700117,2026-02-02,5,461.79,0,Cancelled,Mobile App
ORD900187,CUST101524,PROD700078,2024-12-25,3,519.85,0,Delivered,Online
ORD900188,CUST100483,PROD700090,2026-04-25,3,519.7,20,Delivered,Mobile App
ORD900189,CUST101799,PROD700070,2026-05-26,1,481.72,0,Delivered,Mobile App
ORD900190,CUST100461,PROD700007,2024-11-11,5,35.8,0,Returned,Mobile App
ORD900191,CUST101066,PROD700035,2025-03-09,1,388.41,15,Delivered,In-Store
ORD900192,CUST100312,PROD700058,2026-03-04,4,159.38,0,Shipped,Online
ORD900193,CUST100269,PROD700154,2024-08-20,3,236.26,0,Delivered,Online
ORD900194,CUST100632,PROD700138,2025-06-02,2,283.42,5,Cancelled,Mobile App
ORD900195,CUST101998,PROD700034,2024-11-15,4,542.39,10,Returned,In-Store
ORD900196,CUST101141,PROD700144,2026-06-08,2,118.57,0,Delivered,In-Store
ORD900197,CUST100298,PROD700047,2024-09-15,3,205.05,5,Delivered,In-Store
ORD900198,CUST101527,PROD700105,2026-02-03,4,290.44,15,Delivered,Mobile App
ORD900199,CUST100218,PROD700070,2025-02-28,2,481.72,0,Delivered,Online
ORD900200,CUST101161,PROD700156,2025-06-04,5,368.07,5,Shipped,In-Store
ORD900201,CUST101409,PROD700059,2024-10-03,1,773.2,10,Delivered,Online
ORD900202,CUST100765,PROD700154,2025-01-18,4,236.26,0,Delivered,Online
ORD900203,CUST100463,PROD700121,2025-01-06,2,666.9,0,Shipped,In-Store
ORD900204,CUST100455,PROD700003,2025-04-20,3,353.56,5,Returned,Mobile App
ORD900205,CUST101955,PROD700052,2025-02-09,1,675.95,20,Shipped,Mobile App
ORD900206,CUST101817,PROD700125,2025-06-27,3,240.64,0,Cancelled,Online
ORD900207,CUST100779,PROD700010,2024-12-15,5,281.9,5,Delivered,Online
ORD900208,CUST101313,PROD700146,2026-04-01,5,53.38,10,Delivered,In-Store
ORD900209,CUST101693,PROD700133,2026-02-04,1,30.49,10,Delivered,Mobile App
ORD900210,CUST101505,PROD700062,2025-01-30,5,265.13,0,Delivered,Online
ORD900211,CUST100815,PROD700012,2025-07-23,2,511.65,10,Shipped,In-Store
ORD900212,CUST100602,PROD700073,2024-09-05,4,365.16,5,Shipped,Online
ORD900213,CUST101323,PROD700132,2024-11-30,2,521.91,0,Delivered,In-Store
ORD900214,CUST101920,PROD700028,2026-05-22,2,117.87,10,Delivered,Online
ORD900215,CUST100051,PROD700100,2026-03-10,4,6.9,0,Delivered,In-Store
ORD900216,CUST100663,PROD700051,2025-03-28,4,867.0,5,Placed,Mobile App
ORD900217,CUST101446,PROD700041,2025-03-29,1,302.2,0,Placed,Online
ORD900218,CUST101997,PROD700134,2025-04-17,4,470.5,0,Delivered,Mobile App
ORD900219,CUST101573,PROD700096,2026-02-28,5,12.31,0,Delivered,Online
ORD900220,CUST100366,PROD700038,2026-04-21,2,252.24,10,Cancelled,Online
ORD900221,CUST101968,PROD700078,2026-02-24,3,519.85,0,Delivered,In-Store
ORD900222,CUST100007,PROD700030,2026-01-08,2,22.26,5,Returned,Online
ORD900223,CUST101113,PROD700117,2025-05-21,4,461.79,10,Cancelled,In-Store
ORD900224,CUST101350,PROD700126,2024-12-17,2,628.38,0,Shipped,Online
ORD900225,CUST100501,PROD700020,2025-03-04,5,35.61,10,Delivered,Online
ORD900226,CUST100303,PROD700142,2025-11-23,2,716.35,0,Placed,Online
ORD900227,CUST101716,PROD700037,2025-09-21,1,418.21,5,Delivered,Online
ORD900228,CUST100365,PROD700022,2024-10-22,1,486.05,0,Shipped,Online
ORD900229,CUST100363,PROD700152,2026-06-22,5,233.11,15,Delivered,In-Store
ORD900230,CUST100612,PROD700092,2025-02-12,1,543.0,0,Placed,Mobile App
ORD900231,CUST100132,PROD700017,2024-10-18,4,101.98,0,Delivered,Online
ORD900232,CUST101074,PROD700070,2026-05-16,3,481.72,0,Delivered,Online
ORD900233,CUST101288,PROD700014,2026-06-04,1,211.03,0,Delivered,Online
ORD900234,CUST101736,PROD700154,2025-12-06,3,236.26,0,Delivered,Online
ORD900235,CUST101258,PROD700159,2025-04-22,3,97.45,5,Cancelled,Online
ORD900236,CUST101809,PROD700127,2025-07-16,4,727.99,5,Delivered,In-Store
ORD900237,CUST100952,PROD700049,2025-07-09,1,368.31,5,Shipped,Online
ORD900238,CUST100847,PROD700053,2025-12-19,5,143.47,0,Returned,Online
ORD900239,CUST101413,PROD700054,2024-10-16,1,314.73,0,Delivered,In-Store
ORD900240,CUST100663,PROD700078,2025-09-28,3,519.85,10,Delivered,Online
ORD900241,CUST101165,PROD700085,2024-09-03,3,533.71,5,Delivered,Online
ORD900242,CUST100692,PROD700044,2026-02-22,2,298.6,15,Delivered,Online
ORD900243,CUST100986,PROD700121,2025-07-06,1,666.9,0,Delivered,Online
ORD900244,CUST101667,PROD700137,2026-07-02,3,324.61,0,Delivered,In-Store
ORD900245,CUST101388,PROD700133,2025-02-02,3,30.49,0,Delivered,Online
